Seção de Administração de Frota,,,,,,,,,,,,,,,,
SUBDETENTOR,MARCA/MODELO,CÂMBIO,PLACA,ANO,Tipo de Tração,2ª Consulta,APRESENTAÇÃO,GRAFISMO,Rádio,Disponível,Carga SIPL,GRUPO,ENCONTRA-SE,INÍCIO,TÉRMINO,OBSERVAÇÕES
Chefe CMM (SAF),GM/SPIN,Manual,29/04/2026,2020,4X2,,Caracterizada,Adesivo,,Emprestada,CMM,22,Guarda,06/02/2023,,Emprestada para a Guarda do CMM
Chefe CMM (SAF),GM/Vectra,Manual,CMW7378,2011,4X2,,Descaracterizada,Não Possui,214007014-J,Emprestada,CMM,15,DP,15/05/2025,,"Emprestado para a DP, determinação Maj Demetrius."
Seç Mat e Comb,GM/BLAZER,Manual,DJL7765,2011,4X2,,Descaracterizada,Não Possui,214006261-P,Baixada,CMM,15,P/4 CMM,10/07/2024,,Enchente - será descarregada (esta emprestada para o P/4)
Chefe CMM (SAF),GM/Cruze,Manual,FZV0B15,2022,4X2,,Descaracterizada,Não Possui,219047295-K,Disponível,CMM,15,CMM,21/02/2025,,USO DA CH CMM. Chaves com os motoristas
St Técnico,GM/BLAZER,Manual,CMW6288,2005,4X2,,Descaracterizada,Não Possui,,,CMM,15,St Técnico,,,Veículo sob responsabilidade do St Técnico da manutenção
SAT,GM/BLAZER,Manual,DJL7424,2011,4X2,,Descaracterizada,Não Possui,,,CMM,15,SAT,,,Veículo sob responsabilidade da SAT
Auto Escola,GM/BLAZER,Manual,CDV9594,2002,4X2,,Caracterizada,Adesivo,,,CMM,3,Auto Escola,,,Veículo sob responsabilidade da Auto Escola
Auto Escola,Honda/XRE 300,-----,DSV7808,2012,-----,,Caracterizada,Adesivo,-----,,CMM,19,Auto Escola,,,Veículo sob responsabilidade da Auto Escola
Auto Escola,GM/Trail Blazer,Automático,FNR2582,2015,4x4,,Caracterizada,Adesivo,,,CMM,3,Auto Escola,,,Veículo sob responsabilidade da Auto Escola
Auto Escola,GM/Spin,Manual,CAG3711,2020,4X2,,Caracterizada,Adesivo,,,CMM,22,Auto Escola,,,Veículo sob responsabilidade da Auto Escola
Auto Escola,Yamaha/Lander,-----,CUH2J98,2022,-----,,Caracterizada,Adesivo,-----,,CMM,19,Auto Escola,11/03/24,,Veículo sob responsabilidade da Auto Escola
Auto Escola,Yamaha/Lander,-----,DYF3H91,2022,-----,,Caracterizada,Adesivo,-----,,CMM,19,Auto Escola,11/03/24,,Veículo sob responsabilidade da Auto Escola
Auto Escola,Yamaha/Lander,-----,CUI0G83,2022,-----,,Caracterizada,Adesivo,-----,,CMM,19,Auto Escola,11/03/24,,Veículo sob responsabilidade da Auto Escola
Auto Escola,Yamaha/Lander,-----,BOT5I18,2022,-----,,Caracterizada,Adesivo,-----,,CMM,19,Auto Escola,11/03/24,,Veículo sob responsabilidade da Auto Escola
Auto Escola,BMW/F850 GS,-----,FWE6J01,2022,-----,,Caracterizada,Adesivo,-----,,CMM,19,Auto Escola,11/03/24,,Veículo sob responsabilidade da Auto Escola
Auto Escola,VW/Gol,Manual,BTZ0876,2019,4X2,,Caracterizada,Adesivo,,,CMM,22,Auto Escola,,,Veículo sob responsabilidade da Auto Escola
Autoescola,Vw/Parati,Manual,DJM0137,2012,4X2,,Caracterizada,Adesivo,,Baixada,CMM,22,SAT,,,Veículo sob responsabilidade da SAT (possível DESCARGA)
,Yamaha Lander XTZ250,-----,BYZ0330,2010,-----,,Caracterizada,Adesivo,-----,Baixada,CMM,19,Auto Escola,,,Veículo sob responsabilidade da Auto Escola (possível DESCARGA)
SAF,Toyota/Hilux,Automático,CFY5436,2009,4x4,,Descaracterizada,Não possui,----------,Baixada,CMM,15,Manutenção,,,Troca de óleo
St Técnico,Toyota/Hilux cinza,Automático,CFY5701,2013,4x2,,Descaracterizada,Não possui,,-------,CMM,15,St Técnico,22/01/2025,,
Autoescola,GM/SPIN,Automático,FBV9H43,2022,4x3,,Caracterizada,não possui,221034194-E,Emprestada,CMM,22,Autoescola,27/02/2025,,Determinação Ch CMM.